id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20371803,Acropolis View Studio in Monastiraki,56607959,Vassilis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9786555106327,23.731007094914585,Entire home/apt,50,4,6,2018-06-26,0.45,2,91
20376143,"Acropolis Museum, 5 minutes walk!!!",130122345,Thanos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.967294082797245,23.727194325462506,Entire home/apt,35,2,62,2019-01-17,3.45,1,248
20379548,Walk to the Acropolis from a Low-Key Apartment,114156592,Bill & John,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.966689647252196,23.727059565802925,Entire home/apt,129,1,9,2018-12-03,0.50,8,304
20379858,Athens Jem near the Archaeological Museum,47038350,Konstantinos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.99097370217823,23.73036491641632,Entire home/apt,85,2,2,2018-01-03,0.13,25,260
20381002,Cozy with a minimal essence near the center,145341224,Alexandros,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99616851845754,23.73011799134892,Entire home/apt,19,7,6,2018-09-11,0.93,1,77
20383968,Όμορφο διαμέρισμα στο κέντρο της Αθηνας ΑΜΑ69088,145173487,Anastasia,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99161750921271,23.72507321772634,Entire home/apt,38,1,14,2018-08-27,0.84,1,141
20385428,Sunny appartment at  FIX area near metro station,141798183,Dimitris,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96045803572454,23.723656397878454,Entire home/apt,30,2,48,2019-02-04,3.23,1,287
20392308,"Cozy sweet apartment! 
5’ minutes from metro lines",49166505,Debbie,,ΚΟΛΩΝΟΣ,37.99470270935535,23.71867656167215,Entire home/apt,20,5,2,2018-08-22,0.31,1,53
20398715,Retreat to a Sleek Flat in Central Syntagma,20104194,Konstantinos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.973441022718916,23.730560871224277,Entire home/apt,75,2,66,2019-02-06,3.77,29,128
20398893,Renovated Flat with Patio Close to Historic Attractions,20104194,Konstantinos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96814902225375,23.730398888828855,Entire home/apt,60,2,70,2019-01-30,4.00,29,117
