id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
707043863331499888,Condo in Athina · ★4.53 · 1 bedroom · 1 bed · 1 bath,229403250,Tegea,,ΑΜΠΕΛΟΚΗΠΟΙ,37.989,23.76306,Entire home/apt,35,1,32,2023-06-14,3.32,3,288,32,00001755985
707057909438264730,Condo in Athina · ★4.94 · 1 bedroom · 2 beds · 1 bath,24994909,Athina,,ΑΜΠΕΛΟΚΗΠΟΙ,37.9881,23.762,Entire home/apt,54,1,18,2023-06-23,3.33,1,7,18,00001841546
707616905923451853,Condo in Athina · ★4.90 · 1 bedroom · 1 bed · 1 bath,477918615,Kostas,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97771577011453,23.723290279762246,Entire home/apt,54,1,40,2023-06-19,4.74,2,236,40,00001770325
707638531636947383,Rental unit in Athina · 2 bedrooms · 3 beds · 1 bath,477923955,Charis Stamatina,,ΚΥΨΕΛΗ,37.9986644,23.7403424,Entire home/apt,105,2,0,,,2,12,0,00001711170
707667265195860180,Condo in Athina · ★3.58 · 2 bedrooms · 2 beds · 1 bath,428926944,Panagiotis,,ΑΚΡΟΠΟΛΗ,37.96445,23.71684,Entire home/apt,79,1,12,2023-05-14,1.33,24,213,12,00001748456
707668161980723548,Rental unit in Athina · ★4.86 · 1 bedroom · 3 beds · 1 bath,178457686,HostPal,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97865632275959,23.72820896256562,Entire home/apt,123,2,21,2023-02-14,2.16,7,0,21,00001756738
707763446654040663,Rental unit in Athina · ★4.85 · 1 bedroom · 1 bed · 1 bath,178457686,HostPal,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.978639408961264,23.728217009192665,Entire home/apt,85,2,20,2023-06-16,2.07,7,304,20,1753318
707891936082770919,Condo in Athina · ★4.95 · 1 bedroom · 1 bed · 1 bath,469785455,Alexandros,,ΑΚΡΟΠΟΛΗ,37.96482,23.7173,Entire home/apt,70,2,21,2023-06-09,2.35,1,335,21,01221892852
708293567240598835,Condo in Athina · ★4.96 · 1 bedroom · 1 bed · 1 bath,74343759,Stelios,,ΠΕΤΡΑΛΩΝΑ,37.96875,23.70803,Entire home/apt,57,2,72,2023-06-21,7.66,22,110,72,00001775796
708346504766975792,Condo in Athina · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,240481675,Gianttrip,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9845976,23.7366524,Entire home/apt,135,1,3,2023-04-07,0.36,31,334,3,00001755741
